tconst,title,titleType,startYear,runtimeMinutes,averageRating,numVotes
tt0099262,Chips the War Dog,tvMovie,1990,92,6.9,229
tt0099264,Master of Disaster,movie,1990,88,5.1,106
tt0099265,The Last Princess of Manchuria,movie,1990,96,6.5,177
tt0099266,My Mother's Castle,movie,1990,98,7.6,4782
tt0099267,World Cup '90,movie,1990,81,7.0,120
tt0099271,Circuitry Man,movie,1990,93,4.7,794
tt0099272,City Hunter: Bay City Wars,movie,1990,45,7.1,242
tt0099277,Class of 1999,movie,1990,99,5.9,6731
tt0099278,Click: The Calendar Girl Killer,movie,1990,87,2.8,326
tt0099280,Club Fed,movie,1990,93,3.5,266
tt0099284,Coins in the Fountain,tvMovie,1990,98,5.9,56
tt0099286,Cold Dog Soup,movie,1990,87,5.6,447
tt0099288,Agenda for Murder,tvEpisode,1990,98,7.6,1331
tt0099289,Columbo Goes to College,tvEpisode,1990,98,7.8,1510
tt0099291,Come See the Paradise,movie,1990,138,6.7,2564
tt0099292,The Comfort of Strangers,movie,1990,107,6.3,4710
tt0099294,Common Ground,tvMiniSeries,1990,185,6.3,44
tt0099295,Complex World,movie,1991,81,4.9,123
tt0099296,The Conviction,movie,1991,92,6.1,243
tt0099300,Convicts,movie,1991,93,5.8,555
tt0099305,Corporate Affairs,movie,1990,82,4.2,208
tt0099307,The Thing,movie,1990,59,6.3,163
tt0099310,Coupe de Ville,movie,1990,99,6.7,2259
tt0099311,The Court-Martial of Jackie Robinson,tvMovie,1990,100,6.9,200
tt0099312,Cover-Up,movie,1991,90,4.5,1225
tt0099313,Crash and Burn,video,1990,85,5.1,1014
tt0099314,Crash: The Mystery of Flight 1501,tvMovie,1990,120,5.3,264
tt0099315,Crazy Horse and Custer: The Untold Story,movie,1990,120,5.3,31
tt0099316,Crazy People,movie,1990,90,6.1,4121
tt0099319,Crime Lords,video,1991,96,4.5,76
tt0099320,Crime Stopper,movie,1990,90,4.6,28
tt0099321,Criminal Justice,tvMovie,1990,90,6.4,317
tt0099327,A Cry in the Wild,movie,1990,82,5.6,912
tt0099328,Cry in the Wild: The Taking of Peggy Ann,tvMovie,1991,90,6.2,364
tt0099329,Cry-Baby,movie,1990,85,6.5,54982
tt0099330,Crystal Force,movie,1990,82,3.4,87
tt0099332,Curiosity Kills,tvMovie,1990,86,5.4,216
tt0099334,Cyrano de Bergerac,movie,1990,137,7.5,22442
tt0099341,Daddy Nostalgia,movie,1990,105,6.9,642
tt0099342,Daddy's Dyin'... Who's Got the Will?,movie,1990,95,5.7,736
tt0099346,Dan Turner Hollywood Detective,video,1990,92,5.8,81
tt0099348,Dances with Wolves,movie,1990,181,8.0,239114
tt0099355,Danger Zone III: Steel Horse War,movie,1990,91,3.6,41
tt0099357,Dangerous Passion,tvMovie,1990,94,4.9,144
tt0099358,Dangerous Pursuit,tvMovie,1990,95,5.9,98
tt0099360,Dark Avenger,tvMovie,1990,96,4.7,76
tt0099363,Dark Shadows,tvSeries,1991,45,7.5,1796
tt0099364,The Dark Side of the Moon,movie,1990,87,5.0,2147
tt0099365,Darkman,movie,1990,96,6.4,58418
tt0099368,Daughter of Darkness,tvMovie,1990,93,5.2,724
tt0099369,Desperate Hours,tvMovie,1990,91,6.1,192
tt0099371,Days of Thunder,movie,1990,107,6.1,78950
tt0099372,Days of Waiting: The Life and Art of Estelle Ishigo,short,1991,28,7.4,63
tt0099374,Dead Men Don't Die,movie,1990,94,4.1,251
tt0099375,Dead Reckoning,tvMovie,1990,100,6.1,92
tt0099379,Deadly Dancer,movie,1990,99,5.5,31
tt0099381,Deadly Manor,movie,1990,86,4.7,596
tt0099385,Dusted,movie,1990,89,5.7,17186
tt0099387,The Death of the Incredible Hulk,tvMovie,1990,95,5.8,2160
tt0099388,Deathstalker: Match of Titans,movie,1991,91,3.7,750
tt0099390,Deceptions,tvMovie,1990,95,4.6,230
tt0099391,Decoration Day,tvMovie,1990,100,7.2,376
tt0099394,Deep Sleep,movie,1990,87,5.6,61
tt0099395,Temptation,movie,1990,95,4.7,1252
tt0099396,In Defense of a Married Man,tvMovie,1990,95,5.6,148
tt0099397,Defenseless,movie,1991,104,5.7,680
tt0099399,Delta Force 2,movie,1990,111,4.9,6750
tt0099401,Demon Wind,movie,1990,96,5.0,2155
tt0099407,Desire,movie,1990,94,6.1,88
tt0099409,Desperate Hours,movie,1990,105,5.4,6949
tt0099415,The German Chainsaw Massacre,movie,1990,63,5.2,700
tt0099422,Dick Tracy,movie,1990,105,6.1,57454
tt0099423,58 Minutes,movie,1990,124,7.2,336941
tt0099426,Bullet in the Head,movie,1990,136,7.6,9828
tt0099428,Diggin' Up Business,movie,1990,85,4.6,24
tt0099429,Heart,movie,1990,172,6.7,4894
tt0099435,Original Dirty Pair: Flight 005 Conspiracy,video,1990,59,7.1,49
tt0099437,The Immigrants,movie,1990,135,7.0,138
tt0099440,The Disturbance,movie,1990,93,5.3,115
tt0099441,Disturbed,movie,1990,96,5.2,569
tt0099445,Club Extinction,movie,1990,116,4.9,415
tt0099450,The Boyfriend School,movie,1990,103,5.9,2499
tt0099451,Don't Try This at Home!,tvMovie,1990,47,7.3,115
tt0099453,Donor,tvMovie,1990,96,5.7,154
tt0099459,Down the Drain,movie,1990,105,3.9,166
tt0099460,Downtown,movie,1990,96,5.8,1753
tt0099461,Dragonfight,movie,1990,83,3.3,121
tt0099462,Dream Machine,movie,1991,88,5.3,732
tt0099463,Dream Trap,movie,1990,90,6.2,255
tt0099464,The Dreamer of Oz,tvMovie,1990,100,7.3,488
tt0099472,DuckTales the Movie: Treasure of the Lost Lamp,movie,1990,74,6.9,24901
tt0099474,Dune Warriors,movie,1991,78,4.0,351
tt0099480,Eating,movie,1990,110,6.0,261
tt0099484,The Ages of Lulu,movie,1990,95,5.6,3451
tt0099487,Edward Scissorhands,movie,1990,105,7.9,445772
tt0099493,El Diablo,tvMovie,1990,115,6.3,742
tt0099498,Empire of the Dark,movie,1990,93,4.8,133
tt0099502,Enemy,movie,1990,84,4.7,110
tt0099506,Enid Is Sleeping,movie,1990,105,5.6,416
tt0099512,Ernest Goes to Jail,movie,1990,81,5.4,8860
tt0099517,Escape,movie,1990,88,4.9,78
tt0099520,Everybody Wins,movie,1990,97,5.1,1056
tt0099522,The Evil Cameraman,short,1990,12,5.1,190
tt0099523,Evil Spirits,movie,1990,95,4.2,218
tt0099524,Evil Toons,movie,1992,90,3.9,2404
