filename,mark,x.field,x.type,y.aggregate,y.field,y.type,color.field,color.type,x.aggregate,size.field,size.type,size.aggregate,color.aggregate,shape.field,shape.type,column.field,column.type,row.field,row.type,label
selection_type_interval_normalized.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_column_fold.vl.json,43,1,7,7,1,33,1,88,71,0,41,13,98,0,6,1,75,0,82,0
bar_month_temporal_initial_normalized.vl.json,43,1,18,77,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_2d_array_named.vl.json,37,1,7,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
tick_strip_normalized.vl.json,67,1,47,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
interactive_paintbrush_simple_all.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_project_multi_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
test_subobject_missing.vl.json,94,1,59,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_title_start_normalized.vl.json,43,1,59,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
interactive_paintbrush_interval.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_type_single_dblclick_normalized.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
time_parse_utc_format.vl.json,37,0,32,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_translate_scatterplot_drag_normalized.vl.json,37,1,47,7,1,33,0,81,71,1,68,13,98,0,6,0,77,0,82,0
bar_month_temporal_initial.vl.json,43,1,18,77,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_shape_custom_normalized.vl.json,37,1,47,7,1,33,1,88,71,1,68,13,98,0,6,0,77,0,82,0
test_subobject_missing_normalized.vl.json,94,1,59,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_project_single_origin.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_size_default.vl.json,43,1,7,24,0,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_background_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_aggregate_vertical.vl.json,43,1,59,77,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
rect_heatmap_normalized.vl.json,96,1,59,7,1,9,1,99,71,0,41,13,4,0,6,0,77,0,82,0
line_inside_domain_using_transform_normalized.vl.json,94,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_project_single.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
line_impute_keyvals_normalized.vl.json,94,1,47,7,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
line_sort_axis.vl.json,94,1,7,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
rule_color_mean_normalized.vl.json,93,0,32,77,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
interactive_paintbrush_simple_none.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
test_minimal.json,37,0,32,7,0,28,0,81,71,0,41,13,98,0,6,0,77,0,82,0
